Region IRI,Layer IRI
http://purl.obolibrary.org/obo/UBERON_0006490,http://uri.interlex.org/base/ilx_0738321
http://purl.obolibrary.org/obo/UBERON_0006491,http://uri.interlex.org/base/ilx_0738322
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0004641
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0001250
http://purl.obolibrary.org/obo/UBERON_0002106,http://uri.interlex.org/base/ilx_0793680
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0010398
http://purl.obolibrary.org/obo/UBERON_0002106,http://uri.interlex.org/base/ilx_0793681
http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/UBERON_0001959
http://purl.obolibrary.org/obo/UBERON_0001263,http://purl.obolibrary.org/obo/UBERON_0002384
http://purl.obolibrary.org/obo/UBERON_0003126,http://uri.interlex.org/base/ilx_0793684
http://purl.obolibrary.org/obo/UBERON_0002185,http://uri.interlex.org/base/ilx_0793764
http://purl.obolibrary.org/obo/UBERON_0002186,http://uri.interlex.org/base/ilx_0793765
http://purl.obolibrary.org/obo/UBERON_0002187,http://uri.interlex.org/base/ilx_0775392
http://uri.interlex.org/base/ilx_0793646,http://purl.obolibrary.org/obo/UBERON_0035965
http://purl.obolibrary.org/obo/UBERON_0001530,http://purl.obolibrary.org/obo/UBERON_0037094
http://purl.obolibrary.org/obo/UBERON_0001532,http://uri.interlex.org/base/ilx_0738305
http://purl.obolibrary.org/obo/UBERON_0000388,http://purl.obolibrary.org/obo/UBERON_0004982
http://purl.obolibrary.org/obo/UBERON_0001737,http://uri.interlex.org/base/ilx_0738326
http://purl.obolibrary.org/obo/UBERON_0001723,http://purl.obolibrary.org/obo/UBERON_0005020
http://purl.obolibrary.org/obo/UBERON_0001508,http://uri.interlex.org/base/ilx_0738304
http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/UBERON_0000379
http://purl.obolibrary.org/obo/UBERON_0001896,http://uri.interlex.org/base/ilx_0738320
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0001201
http://uri.interlex.org/base/ilx_0793558,http://purl.obolibrary.org/obo/UBERON_0008863
http://uri.interlex.org/base/ilx_0793558,http://uri.interlex.org/base/ilx_0793656
http://purl.obolibrary.org/obo/UBERON_0006457,http://uri.interlex.org/base/ilx_0738306
http://purl.obolibrary.org/obo/UBERON_0001896,http://purl.obolibrary.org/obo/UBERON_0003714
http://uri.interlex.org/base/ilx_0793658,http://uri.interlex.org/base/ilx_0793656
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0008857
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0008863
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0008862
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001200
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001203
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001199
http://uri.interlex.org/base/ilx_0793658,http://purl.obolibrary.org/obo/UBERON_0001201
http://purl.obolibrary.org/obo/UBERON_0001258,http://purl.obolibrary.org/obo/UBERON_0002384
http://purl.obolibrary.org/obo/UBERON_0006082,http://purl.obolibrary.org/obo/UBERON_0002384
http://uri.interlex.org/base/ilx_0793663,http://purl.obolibrary.org/obo/UBERON_0035965
http://uri.interlex.org/base/ilx_0793664,http://purl.obolibrary.org/obo/UBERON_0035965
http://purl.obolibrary.org/obo/UBERON_0001891,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0000988,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0001893,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0001894,http://purl.obolibrary.org/obo/UBERON_0003714
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006448,http://purl.obolibrary.org/obo/UBERON_0002318
http://purl.obolibrary.org/obo/UBERON_0006082,http://purl.obolibrary.org/obo/UBERON_0001135
http://purl.obolibrary.org/obo/UBERON_0001258,http://purl.obolibrary.org/obo/UBERON_0001135
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0016578
http://purl.obolibrary.org/obo/UBERON_0006450,http://purl.obolibrary.org/obo/UBERON_0016576
